workflow,subject_id,label,rationale
taxonomy,unclassified::10.1016/0142-0615(85)90016-x,,
taxonomy,unclassified::10.1016/j.asej.2019.11.004,,
taxonomy,unclassified::10.1016/j.epsr.2025.111504,,
taxonomy,unclassified::10.1016/j.jclepro.2020.124918,,
taxonomy,unclassified::10.1016/j.jclepro.2025.147337,,
taxonomy,unclassified::10.1016/j.segan.2023.101138,,
taxonomy,unclassified::10.1016/j.segan.2026.102453,,
taxonomy,unclassified::10.1049/icp.2020.0235,,
taxonomy,unclassified::10.1109/ccdc62350.2024.10587904,,
taxonomy,unclassified::10.1109/isgt-asia.2012.6303211,,
taxonomy,unclassified::10.1109/pct.2007.4538542,,
taxonomy,unclassified::10.1109/tsg.2019.2926572,,
